hotel,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,day_demand,los,arrival_year,arrival_month,arrival_dow,arrival_day
Resort Hotel,0,342,27,0,0,2,0,0,1,Direct,Direct,0,0,3,No Deposit,0,0,0,Transient,0.0,0,0,122,0,2015,7,2,1
Resort Hotel,0,737,27,0,0,2,0,0,1,Direct,Direct,0,0,4,No Deposit,0,0,0,Transient,0.0,0,0,122,0,2015,7,2,1
Resort Hotel,0,7,27,0,1,1,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,75.0,0,0,122,1,2015,7,2,1
Resort Hotel,0,13,27,0,1,1,0,0,1,Corporate,Corporate,0,0,0,No Deposit,1,0,0,Transient,75.0,0,0,122,1,2015,7,2,1
Resort Hotel,0,14,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,1,122,2,2015,7,2,1
Resort Hotel,0,14,27,0,2,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,1,122,2,2015,7,2,1
Resort Hotel,0,0,27,0,2,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,107.0,0,0,122,2,2015,7,2,1
Resort Hotel,0,9,27,0,2,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,103.0,0,1,122,2,2015,7,2,1
Resort Hotel,1,85,27,0,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,82.0,0,1,122,3,2015,7,2,1
Resort Hotel,1,75,27,0,3,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,105.5,0,0,122,3,2015,7,2,1
Resort Hotel,1,23,27,0,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,123.0,0,0,122,4,2015,7,2,1
Resort Hotel,0,35,27,0,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,145.0,0,0,122,4,2015,7,2,1
Resort Hotel,0,68,27,0,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,3,122,4,2015,7,2,1
Resort Hotel,0,18,27,0,4,2,1,0,1,Online TA,TA/TO,0,0,1,No Deposit,1,0,0,Transient,154.77,0,1,122,4,2015,7,2,1
Resort Hotel,0,37,27,0,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,94.71,0,0,122,4,2015,7,2,1
Resort Hotel,0,68,27,0,4,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.0,0,3,122,4,2015,7,2,1
Resort Hotel,0,12,27,0,1,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,88.2,0,0,122,1,2015,7,2,1
Resort Hotel,0,0,27,0,1,2,0,0,1,Corporate,Corporate,0,0,0,No Deposit,0,1,0,Transient,107.42,0,0,122,1,2015,7,2,1
Resort Hotel,0,7,27,0,4,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,153.0,0,1,122,4,2015,7,2,1
Resort Hotel,0,37,27,1,4,1,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,97.29,0,1,122,5,2015,7,2,1
Resort Hotel,0,72,27,2,4,2,0,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,84.67,0,1,122,6,2015,7,2,1
Resort Hotel,0,72,27,2,4,2,0,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,84.67,0,1,122,6,2015,7,2,1
Resort Hotel,0,72,27,2,4,2,0,0,1,Direct,Direct,0,0,1,No Deposit,1,0,0,Transient,99.67,0,1,122,6,2015,7,2,1
Resort Hotel,0,78,27,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,63.6,1,0,122,7,2015,7,2,1
Resort Hotel,1,60,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,107.0,0,2,122,7,2015,7,2,1
Resort Hotel,0,77,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,94.0,0,0,122,7,2015,7,2,1
Resort Hotel,0,99,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,87.3,1,1,122,7,2015,7,2,1
Resort Hotel,0,118,27,4,10,1,0,0,1,Direct,Direct,0,0,2,No Deposit,0,0,0,Transient,62.0,0,2,122,14,2015,7,2,1
Resort Hotel,0,95,27,4,11,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,63.86,0,0,122,15,2015,7,2,1
Resort Hotel,1,96,27,2,8,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,108.3,0,2,122,10,2015,7,2,1
Resort Hotel,0,69,27,2,4,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,65.5,0,0,93,6,2015,7,3,2
Resort Hotel,1,45,27,1,3,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,108.8,0,1,93,4,2015,7,3,2
Resort Hotel,1,40,27,1,3,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,108.8,0,1,93,4,2015,7,3,2
Resort Hotel,0,15,27,1,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,98.0,0,0,93,4,2015,7,3,2
Resort Hotel,0,36,27,1,3,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,108.8,0,1,93,4,2015,7,3,2
Resort Hotel,1,43,27,1,3,3,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,108.8,0,0,93,4,2015,7,3,2
Resort Hotel,0,70,27,2,3,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,137.0,0,1,93,5,2015,7,3,2
Resort Hotel,1,45,27,2,3,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,117.81,0,0,93,5,2015,7,3,2
Resort Hotel,0,16,27,2,3,2,0,0,1,Direct,Direct,0,0,0,No Deposit,0,0,0,Transient,123.0,0,0,93,5,2015,7,3,2
Resort Hotel,0,70,27,2,3,2,0,0,1,Direct,Direct,0,0,0,No Deposit,1,0,0,Transient,137.0,0,1,93,5,2015,7,3,2
Resort Hotel,0,107,27,2,5,2,0,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,110.7,0,2,93,7,2015,7,3,2
Resort Hotel,1,47,27,2,5,2,1,0,1,Online TA,TA/TO,0,0,0,No Deposit,1,0,0,Transient,153.0,0,0,93,7,2015,7,3,2
Resort Hotel,0,96,27,2,5,2,0,0,1,Offline TA/TO,TA/TO,0,0,0,No Deposit,1,0,0,Transient,58.95,0,1,93,7,2015,7,3,2
